2026-04-11 12:13:41 | INFO | src.app.controller | 开始规划: 北京  [本地] -> 上海  [本地], 算法=Dijkstra, 水果=香蕉, 运输=铁路联运, 载重=5.0吨
2026-04-11 12:14:07 | INFO | src.app.controller | 路径已发送到地图。
2026-04-11 12:14:07 | INFO | src.app.controller | 规划成功
2026-04-11 12:14:07 | INFO | src.app.controller | 地图消息: 地图完成渲染，点数=7699
2026-04-11 12:21:31 | INFO | src.app.controller | 界面已启动，等待输入。
2026-04-11 12:21:31 | INFO | src.app.main | 应用启动完成
2026-04-11 12:21:31 | INFO | src.app.controller | 地图消息: WebChannel 已连接。
2026-04-11 12:21:32 | INFO | src.app.controller | 地图消息: 地图初始化完成。
2026-04-11 12:21:32 | INFO | src.app.controller | 地图桥接完成，可接收路径。
2026-04-11 12:21:32 | INFO | src.app.controller | 地图页面加载完成，等待 WebChannel 就绪。
2026-04-11 12:22:21 | INFO | src.app.controller | 开始规划: 石家庄  [本地] -> 天津  [本地], 算法=Dijkstra, 水果=苹果, 运输=公路冷链, 载重=5.0吨
2026-04-11 12:22:34 | INFO | src.app.controller | 路径已发送到地图。
2026-04-11 12:22:34 | INFO | src.app.controller | 规划成功
2026-04-11 12:22:34 | INFO | src.app.controller | 地图消息: 地图完成渲染，点数=1040
2026-04-11 12:22:44 | INFO | src.app.controller | 开始规划: 石家庄  [本地] -> 天津  [本地], 算法=A*, 水果=苹果, 运输=公路冷链, 载重=5.0吨
2026-04-11 12:22:57 | INFO | src.app.controller | 路径已发送到地图。
2026-04-11 12:22:57 | INFO | src.app.controller | 规划成功
2026-04-11 12:22:57 | INFO | src.app.controller | 地图消息: 地图完成渲染，点数=1040
2026-04-11 12:23:07 | INFO | src.app.controller | 开始规划: 石家庄  [本地] -> 天津  [本地], 算法=A*, 水果=苹果, 运输=多式联运, 载重=5.0吨
2026-04-11 12:23:20 | INFO | src.app.controller | 路径已发送到地图。
2026-04-11 12:23:20 | INFO | src.app.controller | 规划成功
2026-04-11 12:23:20 | INFO | src.app.controller | 地图消息: 地图完成渲染，点数=1040
2026-04-11 12:23:32 | INFO | src.app.controller | 开始规划: 石家庄  [本地] -> 北京  [本地], 算法=A*, 水果=苹果, 运输=多式联运, 载重=5.0吨
2026-04-11 12:23:38 | INFO | src.app.controller | 路径点不足，跳过地图渲染。
2026-04-11 12:23:38 | INFO | src.app.controller | 规划成功
2026-04-11 12:24:50 | INFO | src.app.controller | 开始规划: 广西 -> 北京  [本地], 算法=A*, 水果=苹果, 运输=多式联运, 载重=5.0吨
2026-04-11 12:24:56 | INFO | src.app.controller | 路径点不足，跳过地图渲染。
2026-04-11 12:24:56 | INFO | src.app.controller | 规划成功
2026-04-11 12:49:06 | INFO | src.app.controller | 界面已启动，等待输入。
2026-04-11 12:49:06 | INFO | src.app.main | 应用启动完成
2026-04-11 12:49:06 | INFO | src.app.controller | 地图消息: WebChannel 已连接。
2026-04-11 12:49:07 | INFO | src.app.controller | 地图消息: 地图初始化完成。
